"Site","PO4_Resin","PO4_SE","NH4_Resin","NH4_SE","NO3_Resin","NO3_SE","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen"
"5",0.815087909415549,0.124298094868586,9.16055835627478,6.4879820793739,0.895074550000584,0.352415726132441,1.81652661064426,6.707,0.19475,88.75,2.7773,0.026585
"7",1.00093941252182,0.340364477836246,8.54635977743955,3.02920025500943,0.801888865720953,0.350353169628454,0.776750700280112,3.71475,0.1705,51.5,3.85405,0.04975
"8",0.910957685545768,0.0889177411006481,5.732532335258,2.80707425841206,0.322798428921682,0.0815183616671077,1.58718487394958,6.9495,0.16075,83.15,4.9806,0.07082
"10",0.917107354258646,0.0929176850963891,6.21867693835287,1.99326272382255,1.0147438224303,0.417395803687781,2.61624649859944,5.55,0.09675,133.2,6.91055,0.129265
"11",0.562499987585264,0.125117256769777,1.55639314292461,0.63513301704755,0.505608251651589,0.287142722769981,1.01155462184874,2.226,0.20725,92,2.49115,0.038735
"12",0.738824816460286,0.139556723587973,2.59546478465461,0.741957080546404,0.314691592836921,0.0725771859475988,1.70658263305322,7.1215,0.25225,73.6,2.46765,0.033745
"26",0.954828305964669,0.0653261486663133,2.98048413252228,1.26420151113181,0.20360314239035,0.0327903045500936,1.13725490196078,5.70675,0.159,72.1,4.66645,0.09203
"29",0.637434910456747,0.0801307829697366,8.25542236575535,1.90980580376276,0.491809019941243,0.17382985749452,0.544117647058824,4.84,0.27175,44.25,3.2823,0.06695
"31",1.07315890339034,0.145547375760249,5.86777600866614,1.04688624359028,0.494818320517396,0.18333985419093,2.59033613445378,2.9085,0.2125,60.15,3.23175,0.059095
"34",1.14623073618685,0.0933652763353094,2.58847286792062,0.919417926317683,0.321653059899789,0.0485495163996288,0.875700280112045,6.916,0.0835,38.5,2.8229,0.0264
"49",1.6085882382003,0.432448839093676,6.60395253931733,1.73852189367125,1.34420511159529,0.46473304897794,1.95973389355742,4.79925,0.164,68.6,3.7945,0.04598
"56",3.29883524014088,0.691001528966727,18.8885669817533,5.8446459064786,3.52278667543835,0.921782488675376,1.94187675070028,7.75875,0.22175,113.9,4.70835,0.10671
