"Site","Fire.Severity","Fire.Interval","Vegetation.Class","Total.P","Carbon","Nitrogen","Ammonia_mg_kg","Nitrate_mg_kg","Ortho_P_mg_kg","pH","Days_Installed"
5,"Low","Short","Sydney Montane DSF",88.75,2.78,0.03,0.36,0.03,0.04,5.33,143
7,"Low","Long","Sydney Montane DSF",51.5,3.85,0.05,0.5,0.03,0.04,5.18,142
8,"Low","Long","Sydney Montane DSF",83.15,4.98,0.07,0.38,0.02,0.05,5.34,142
10,"High","Short","Sydney Montane DSF",133.2,6.91,0.13,0.23,0.04,0.03,5.18,141
11,"High","Short","Sydney Montane DSF",92,2.49,0.04,0.07,0.03,0.02,5.17,142
12,"High","Long","Sydney Coastal DSF",73.6,2.47,0.03,0.13,0.02,0.03,5.18,163
26,"Low","Short","Sydney Coastal DSF",72.1,4.67,0.09,0.11,0.01,0.04,5.15,160
29,"High","Long","Sydney Coastal DSF",42.56,3.13,0.06,0.57,0.04,0.04,5.39,131
31,"High","Short","Sydney Hinterland DSF",60.15,3.23,0.06,0.22,0.02,0.04,5.39,141
34,"Low","Short","Sydney Coastal DSF",36.8,2.82,0.03,0.1,0.01,0.04,4.82,162
49,"Low","Long","Sydney Hinterland DSF",72,3.79,0.05,0.38,0.09,0.08,5.01,141
56,"High","Long","Sydney Hinterland DSF",111.76,4.78,0.11,0.77,0.15,0.12,5,141
