"Site","Transect","Sample","ID","Fire.Interval","Fire.Severity","Carbon","Nitrogen","Hydrogen","Sample_mg","C_N"
"leaf_std",NA,NA,"OL 0.352","Standards","Standards",48.9574761363637,5.25428508522728,7.89287144886365,0.352,9.31762843893082
"leaf_std",NA,NA,"OL 2.276","Standards","Standards",49.6592260984183,2.02515971001757,6.42341498242531,2.276,24.5211406551177
"leaf_std",NA,NA,"OL 1.311","Standards","Standards",49.6578417810831,2.03967919527079,6.50177097635393,1.311,24.3459078742481
"5",1,"5.1","A1","Short","Low",44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791
"7",1,"7.1","A2","Long","Low",48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638
"7",2,"7.2","A3","Long","Low",45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288
"8",1,"8.1","A4","Long","Low",45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475
"8",2,"8.2","A5","Long","Low",46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615
"10",2,"10.2","A6","Short","High",48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637
"11",1,"11.1","A7","Short","High",49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049
"11",2,"11.2","A8","Short","High",41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128
"12",1,"12.1","A9","Long","High",44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882
"12",2,"12.2","A10","Long","High",42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123
"26",1,"26.1","A11","Short","Low",44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341
"26",2,"26.2","A12","Short","Low",46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526
"29",1,"29.1","B1","Long","High",46.5847776098027,2.6510314290261,6.78983020369192,1.571,17.572321889415
"31",1,"31.1","B2","Short","High",42.9353645607375,4.43879351952278,6.02368383947939,0.922,9.67275552960471
"31",2,"31.2","B3","Short","High",45.5041745748299,3.65054175170068,5.85668735827664,1.764,12.4650470176463
"34",1,"34.1","B4","Short","Low",49.2487812882393,3.59365967029232,6.82258055744391,1.471,13.7043531682657
"34",2,"34.2","B5","Short","Low",47.520238163482,4.20272205414013,6.38210894373673,1.884,11.3070142520297
"49",1,"49.1","B6","Long","Low",47.7530920130641,3.24335988717341,6.70613093824228,0.842,14.7233405093016
"49",2,"49.2","B7","Long","Low",51.1325640588235,4.74221205882353,6.91180117647059,1.7,10.7824288379691
"56",1,"56.1","B8","Long","High",43.9139742075665,3.93797712167689,6.20597980572597,0.978,11.1514040967477
"56",2,"56.2","B9","Long","High",40.3974967291857,1.49674531107045,5.07189204025618,1.093,26.9902276829543
"29",2,"29.2","B10","Long","High",45.4098149122807,4.30351067251463,6.73964546783626,0.342,10.5518072029659
"10",1,"10.1","B11","Short","High",44.9555159462617,3.61189813084112,6.65191325934579,0.856,12.4465071598774
"5",2,"5.2","B12","Short","Low",41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128
