Tube_ID,ITSall_OTUb_8161,ITSall_OTUk_1642,ITSall_OTUn_12223,ITSall_OTUb_49,ITSall_OTUa_4555,ITSall_OTUa_8076,ITSall_OTUm_386,ITSall_OTUe_4441,ITSall_OTUn_8735,ITSall_OTUj_644,ITSall_OTUj_3253,ITSall_OTUj_119,ITSall_OTUj_7180,ITSall_OTUb_3024,ITSall_OTUj_286,ITSall_OTUa_7612,ITSall_OTUj_175,ITSall_OTUj_6744,ITSall_OTUj_9587,ITSall_OTUj_7447,ITSall_OTUb_2083,ITSall_OTUa_10308,ITSall_OTUj_17852,ITSall_OTUj_593,ITSall_OTUa_13,ITSall_OTUj_12577,ITSall_OTUm_14529,ITSall_OTUa_1016,ITSall_OTUm_139,ITSall_OTUj_19092,ITSall_OTUf_540,ITSall_OTUj_5244,ITSall_OTUj_1432,ITSall_OTUa_8584,ITSall_OTUj_464,ITSall_OTUj_12409,ITSall_OTUj_19429,ITSall_OTUa_7420,ITSall_OTUc_1019,ITSall_OTUm_4107,ITSall_OTUg_193,ITSall_OTUj_811,ITSall_OTUa_9545,ITSall_OTUj_20919
F1,0,0,0,7832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,0,0,0,200,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
F3,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1,0,0,0,1901,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,4202,0,0,0,0,0,0,10781,6284,0,0
E2,0,37,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,0,0,0,0,0,0,0,0,0,0
E3,0,0,0,10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4159,0,0,0,0,0,0,0,0,0,0
E4,0,0,0,70268,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,15,0,0,0,0,4234,0,95,0
C1,0,0,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,16274,16753,13816,6190,57,0,29,42,0,60,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780,2237,0,0,498,0,229,54,43,0,0,0,17,12,1518,48,0,0,0,0,0
C3,0,0,0,4199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,11643,10,0,3807,0,0,0,0,0,14,0,0,0,0,0,18,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,891,0,0,0,0,0,0,0,75,0,11,0,0,0,0,0,0,0,0,0
B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,20,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,58,108,21,117,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2,0,0,0,884,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3,0,0,0,6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1,104598,7958,7628,14381,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,2255,182,145,153,0,65,10,120,12,146,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,0,0,0,128,0,0,0,0,0,0,0,206,21,84,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4,1998,0,222,4045,0,0,40,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
