Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,C C V,o-Phos 1,0.531,mg P/L,0.185721,Sat Jul 13 16:53:26 2024,1,1
C C B ,C C B ,o-Phos 1,-0.008,mg P/L,0.032784,Sat Jul 13 16:54:46 2024,1,1
12-2-16 REP,12-2-16 REP,o-Phos 1,0.149,mg P/L,0.077326,Sat Jul 13 16:56:05 2024,1,1
56-2-3 REP,56-2-3 REP,o-Phos 1,0.923,mg P/L,0.297058,Sat Jul 13 16:57:22 2024,1,1
7-2-16 REP,7-2-16 REP,o-Phos 1,-0.101,mg P/L,0.006523,Sat Jul 13 16:58:40 2024,1,1
29/01/2003,37650,o-Phos 1,0.134,mg P/L,0.073075,Sat Jul 13 16:59:59 2024,1,1
34-2-16,34-2-16,o-Phos 1,0.193,mg P/L,0.089784,Sat Jul 13 17:01:17 2024,1,1
CTRL 2,CTRL 2,o-Phos 1,0.033,mg P/L,0.044309,Sat Jul 13 17:02:35 2024,1,1
MYSTERY UNK,MYSTERY UNK,o-Phos 1,0.143,mg P/L,0.075729,Sat Jul 13 17:03:53 2024,1,1
29-2-47,29-2-47,o-Phos 1,0.328,mg P/L,0.128128,Sat Jul 13 17:05:12 2024,1,1
5/02/1947,5-2-47,o-Phos 1,0.183,mg P/L,0.086976,Sat Jul 13 17:06:30 2024,1,1
26/01/1933,26-1-33,o-Phos 1,0.158,mg P/L,0.079801,Sat Jul 13 17:07:48 2024,1,1
C C V,C C V,o-Phos 1,0.678,mg P/L,0.227339,Sat Jul 13 17:09:06 2024,1,1
C C B ,C C B ,o-Phos 1,0.04,mg P/L,0.046348,Sat Jul 13 17:10:27 2024,1,1
29/01/1947,29-1-47,o-Phos 1,0.072,mg P/L,0.055394,Sat Jul 13 17:11:46 2024,1,1
49-2-3,49-2-3,o-Phos 1,0.564,mg P/L,0.194998,Sat Jul 13 17:13:04 2024,1,1
10/01/2016,10-1-16,o-Phos 1,0.185,mg P/L,0.087685,Sat Jul 13 17:14:22 2024,1,1
26/01/1947,26-1-47,o-Phos 1,0.162,mg P/L,0.081115,Sat Jul 13 17:15:39 2024,1,1
56-1-47,56-1-47,o-Phos 1,0.261,mg P/L,0.109119,Sat Jul 13 17:16:57 2024,1,1
31/01/2003,31-1-3,o-Phos 1,0.196,mg P/L,0.090598,Sat Jul 13 17:18:14 2024,1,1
56-2-16,56-2-16,o-Phos 1,0.399,mg P/L,0.14829,Sat Jul 13 17:19:31 2024,1,1
7/01/1933,7-1-33,o-Phos 1,-0.061,mg P/L,0.017816,Sat Jul 13 17:20:48 2024,1,1
31-2-47,31-2-47,o-Phos 1,0.17,mg P/L,0.083425,Sat Jul 13 17:22:05 2024,1,1
29-2-33,29-2-33,o-Phos 1,0.121,mg P/L,0.069356,Sat Jul 13 17:23:23 2024,1,1
C C V,C C V,o-Phos 1,0.633,mg P/L,0.214588,Sat Jul 13 17:24:40 2024,1,1
C C B ,C C B ,o-Phos 1,0.029,mg P/L,0.043245,Sat Jul 13 17:26:01 2024,1,1
CTRL 040424,CTRL 040424,o-Phos 1,0.043,mg P/L,0.047278,Sat Jul 13 17:27:20 2024,1,1
34-1-32,34-1-32,o-Phos 1,0.225,mg P/L,0.098807,Sat Jul 13 17:28:37 2024,1,1
34-2-32,34-2-32,o-Phos 1,0.235,mg P/L,0.101668,Sat Jul 13 17:29:54 2024,1,1
29-2-3,29-2-3,o-Phos 1,0.169,mg P/L,0.082903,Sat Jul 13 17:31:11 2024,1,1
34-1-16,34-1-16,o-Phos 1,0.181,mg P/L,0.08642,Sat Jul 13 17:32:28 2024,1,1
56-1-3,56-1-3,o-Phos 1,0.257,mg P/L,0.108094,Sat Jul 13 17:33:45 2024,1,1
49-2-16,49-2-16,o-Phos 1,0.216,mg P/L,0.096399,Sat Jul 13 17:35:02 2024,1,1
29-2-47,29-2-47,o-Phos 1,0.151,mg P/L,0.077816,Sat Jul 13 17:36:19 2024,1,1
34-1-3,34-1-3,o-Phos 1,0.239,mg P/L,0.102959,Sat Jul 13 17:37:36 2024,1,1
29/01/2016,29-1-16,o-Phos 1,0.143,mg P/L,0.075527,Sat Jul 13 17:38:53 2024,1,1
C C V,C C V,o-Phos 1,0.608,mg P/L,0.207665,Sat Jul 13 17:40:10 2024,1,1
C C B ,C C B ,o-Phos 1,0.037,mg P/L,0.045675,Sat Jul 13 17:41:31 2024,1,1
49-1-16,49-1-16,o-Phos 1,0.254,mg P/L,0.107216,Sat Jul 13 17:42:50 2024,1,1
7/01/2016,7-1-16,o-Phos 1,0.277,mg P/L,0.113759,Sat Jul 13 17:44:08 2024,1,1
29/01/1933,29-1-33,o-Phos 1,0.156,mg P/L,0.079485,Sat Jul 13 17:45:25 2024,1,1
49-1-5,49-1-5,o-Phos 1,0.235,mg P/L,0.101897,Sat Jul 13 17:46:43 2024,1,1
8/02/1947,8-2-47,o-Phos 1,0.142,mg P/L,0.075509,Sat Jul 13 17:48:00 2024,1,1
CTRL 1,CTRL 1,o-Phos 1,0.06,mg P/L,0.052083,Sat Jul 13 17:49:18 2024,1,1
31-2-3,31-2-3,o-Phos 1,0.144,mg P/L,0.075886,Sat Jul 13 17:50:36 2024,1,1
8/02/2003,8-2-3,o-Phos 1,0.159,mg P/L,0.080209,Sat Jul 13 17:51:54 2024,1,1
31/01/1947,31-1-47,o-Phos 1,0.131,mg P/L,0.07214,Sat Jul 13 17:53:12 2024,1,1
49-1-47,49-1-47,o-Phos 1,0.073,mg P/L,0.05585,Sat Jul 13 17:54:32 2024,1,1
C C V,C C V,o-Phos 1,0.668,mg P/L,0.224656,Sat Jul 13 17:55:52 2024,1,1
C C B ,C C B ,o-Phos 1,0.053,mg P/L,0.050036,Sat Jul 13 17:56:49 2024,1,1
49-1-33,49-1-33,o-Phos 1,0.183,mg P/L,0.087057,Sat Jul 13 17:57:51 2024,1,1
56-1-16,56-1-16,o-Phos 1,0.804,mg P/L,0.263263,Sat Jul 13 17:58:44 2024,1,1
31/01/2016,31-1-16,o-Phos 1,0.175,mg P/L,0.084703,Sat Jul 13 17:59:37 2024,1,1
56-1-33,56-1-33,o-Phos 1,0.65,mg P/L,0.219424,Sat Jul 13 18:00:30 2024,1,1
34-1-47,34-1-47,o-Phos 1,0.225,mg P/L,0.098892,Sat Jul 13 18:01:23 2024,1,1
7/01/1947,7-1-47,o-Phos 1,0.132,mg P/L,0.072496,Sat Jul 13 18:02:17 2024,1,1
29/02/2016,29-2-16,o-Phos 1,0.124,mg P/L,0.07015,Sat Jul 13 18:03:10 2024,1,1
34-2-3,34-2-3,o-Phos 1,0.14,mg P/L,0.074872,Sat Jul 13 18:04:03 2024,1,1
C C V,C C V,o-Phos 1,0.541,mg P/L,0.188487,Sat Jul 13 18:04:56 2024,1,1
C C B ,C C B ,o-Phos 1,0.008,mg P/L,0.037313,Sat Jul 13 18:05:50 2024,1,1
